"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"88","SR-ORL","shaps_tot","Arew",1,-0.0154358021559339,-0.55,0.28,"",-0.02,"-.02","-.55",".28","-.02 [-.55,.28]",12
"89","SR-ORL","panas_na","betaB",1,-0.067824897392213,-0.33,0.16,"",-0.07,"-.07","-.33",".16","-.07 [-.33,.16]",7
"90","SR-ORL","panas_na","betaF",1,-0.123966153066007,-0.37,0.13,"",-0.12,"-.12","-.37",".13","-.12 [-.37,.13]",7
"91","SR-ORL","panas_na","Apun",1,0.228445083747715,-0.1,0.67,"",0.23," .23","-.10",".67"," .23 [-.10,.67]",7
"92","SR-ORL","panas_na","Arew",1,-0.23826832473763,-0.47,-0.04,"*",-0.24,"-.24","-.47","-.04","-.24 [-.47,-.04]",7
"93","SR-ORL","panas_pa","betaB",1,0.0499674869957956,-0.29,0.35,"",0.05," .05","-.29",".35"," .05 [-.29,.35]",6
"94","SR-ORL","panas_pa","betaF",1,-0.282394186302938,-0.5,-0.03,"*",-0.28,"-.28","-.50","-.03","-.28 [-.50,-.03]",6
"95","SR-ORL","panas_pa","Apun",1,0.0617048705580242,-0.24,0.31,"",0.06," .06","-.24",".31"," .06 [-.24,.31]",6
"96","SR-ORL","panas_pa","Arew",1,0.160618017754942,-0.11,0.42,"",0.16," .16","-.11",".42"," .16 [-.11,.42]",6
"97","SR-ORL","bis","betaB",1,0.275484939112474,-0.02,0.52,"",0.28," .28","-.02",".52"," .28 [-.02,.52]",5
"98","SR-ORL","bis","betaF",1,0.150851876137684,-0.14,0.4,"",0.15," .15","-.14",".40"," .15 [-.14,.40]",5
"99","SR-ORL","bis","Apun",1,0.146760996243341,-0.19,0.41,"",0.15," .15","-.19",".41"," .15 [-.19,.41]",5
"100","SR-ORL","bis","Arew",1,-0.273651173214081,-0.52,-0.02,"*",-0.27,"-.27","-.52","-.02","-.27 [-.52,-.02]",5
"101","SR-ORL","basrewres","betaB",1,-0.0114358925894058,-0.23,0.2,"",-0.01,"-.01","-.23",".20","-.01 [-.23,.20]",4
"102","SR-ORL","basrewres","betaF",1,-0.00721138722113563,-0.31,0.3,"",-0.01,"-.01","-.31",".30","-.01 [-.31,.30]",4
"103","SR-ORL","basrewres","Apun",1,-0.0356541958572106,-0.34,0.28,"",-0.04,"-.04","-.34",".28","-.04 [-.34,.28]",4
"104","SR-ORL","basrewres","Arew",1,0.244276435551051,0.01,0.44,"*",0.24," .24",".01",".44"," .24 [.01,.44]",4
"105","SR-ORL","basfunsk","betaB",1,0.140936292926437,-0.25,0.42,"",0.14," .14","-.25",".42"," .14 [-.25,.42]",3
"106","SR-ORL","basfunsk","betaF",1,0.0175077567034579,-0.25,0.29,"",0.02," .02","-.25",".29"," .02 [-.25,.29]",3
"107","SR-ORL","basfunsk","Apun",1,0.238733449652258,-0.1,0.49,"",0.24," .24","-.10",".49"," .24 [-.10,.49]",3
"108","SR-ORL","basfunsk","Arew",1,-0.0181242640221115,-0.42,0.3,"",-0.02,"-.02","-.42",".30","-.02 [-.42,.30]",3
"109","SR-ORL","basdrive","betaB",1,-0.135852159344752,-0.42,0.15,"",-0.14,"-.14","-.42",".15","-.14 [-.42,.15]",2
"110","SR-ORL","basdrive","betaF",1,-0.181562419237197,-0.48,0.12,"",-0.18,"-.18","-.48",".12","-.18 [-.48,.12]",2
"111","SR-ORL","basdrive","Apun",1,-0.052153302127254,-0.36,0.24,"",-0.05,"-.05","-.36",".24","-.05 [-.36,.24]",2
"112","SR-ORL","basdrive","Arew",1,0.221558753160106,-0.12,0.51,"",0.22," .22","-.12",".51"," .22 [-.12,.51]",2
"113","SR-ORL","bastot","betaB",1,-0.0159315015471346,-0.3,0.26,"",-0.02,"-.02","-.30",".26","-.02 [-.30,.26]",1
"114","SR-ORL","bastot","betaF",1,-0.0835901099175745,-0.37,0.21,"",-0.08,"-.08","-.37",".21","-.08 [-.37,.21]",1
"115","SR-ORL","bastot","Apun",1,0.0502164394859328,-0.26,0.37,"",0.05," .05","-.26",".37"," .05 [-.26,.37]",1
"116","SR-ORL","bastot","Arew",1,0.191837072423072,-0.2,0.45,"",0.19," .19","-.20",".45"," .19 [-.20,.45]",1
"117","SR-ORL","masqAD","betaB",1,0.0496089656941609,-0.3,0.39,"",0.05," .05","-.30",".39"," .05 [-.30,.39]",11
"118","SR-ORL","masqAD","betaF",1,0.0734203950939095,-0.17,0.31,"",0.07," .07","-.17",".31"," .07 [-.17,.31]",11
