ID,Fit_sep_IGT_Arew,Fit_sep_IGT_Apun,Fit_sep_IGT_K,Fit_sep_IGT_betaF,Fit_sep_IGT_betaP,Fit_sep_SIGT_v1_Arew,Fit_sep_SIGT_v1_Apun,Fit_sep_SIGT_v1_K,Fit_sep_SIGT_v1_betaF,Fit_sep_SIGT_v1_betaP,Fit_sep_SIGT_v2_Arew,Fit_sep_SIGT_v2_Apun,Fit_sep_SIGT_v2_K,Fit_sep_SIGT_v2_betaF,Fit_sep_SIGT_v2_betaP,Fit_sep_SIGT_v3_Arew,Fit_sep_SIGT_v3_Apun,Fit_sep_SIGT_v3_K,Fit_sep_SIGT_v3_betaF,Fit_sep_SIGT_v3_betaP
7025,0.119462707,0.06761768,0.047273582,1.220051618,0.808360537,0.00243359,0.355915646,0.048719271,0.958748089,0.86539954,0.002291284,0.311199299,0.048767962,1.074760717,0.923869966,0.002761062,0.387157973,0.048595911,0.784193586,0.842891349
7026,0.086427902,0.118954458,0.030242676,1.433434411,2.019914771,0.001084308,0.452786945,0.044635958,1.361648168,2.580461434,0.001399528,0.439032594,0.045497655,1.430731761,2.551117443,0.001250105,0.50788217,0.041439741,0.713759623,2.918008652
7027,0.209718911,0.049568082,0.035051161,1.468399326,2.666623567,0.016647797,0.370740372,0.046592564,0.672060774,1.63707987,0.018417556,0.320755329,0.047051733,0.824984746,1.86232349,0.017145848,0.416368451,0.045233352,0.503499557,1.635408304
7028,0.160132923,0.054266704,0.064806108,1.172230082,-0.370517299,0.001193898,0.376529793,0.045088407,0.974733199,0.020409791,0.001232636,0.33906039,0.045798138,1.041600331,0.038571484,0.001483397,0.419393107,0.042664205,0.748777852,0.072608543
7029,0.209943799,0.024142294,0.113115112,1.391117882,1.271900948,0.00588599,0.388534814,0.044600015,0.793587998,0.879501656,0.007210059,0.351031382,0.045520653,0.862273175,0.899092984,0.006406563,0.452467613,0.042242758,0.51374002,0.914975506
7030,0.258063769,0.029470087,0.053889389,0.889991687,-0.066763378,0.001096012,0.354388106,0.042476327,0.884014963,0.699098232,0.00106493,0.311778124,0.043712319,0.972555359,0.7104539,0.001241048,0.390883953,0.038764836,0.799461774,0.66006159
7031,0.073829793,0.129104033,0.061571703,1.600142199,0.817940558,0.026203451,0.395376695,0.04480695,1.1700332,2.306479456,0.030651326,0.357268152,0.045382671,1.26912992,2.522228498,0.024123711,0.452915818,0.042482697,0.891588187,2.413961905
7032,0.078108363,0.108236855,0.055375462,1.306386386,-0.17665332,0.045429641,0.391944281,0.045202684,1.133561085,1.822824408,0.056257537,0.350628615,0.045757766,1.249692843,2.076891832,0.039026617,0.441906491,0.042531621,0.839606396,1.999578677
7033,0.184821376,0.141288662,0.042459522,1.214044851,0.69762855,0.006514972,0.377339566,0.044201317,1.093589198,1.346609943,0.006562083,0.336123757,0.045405243,1.205669666,1.507954976,0.006845056,0.440903284,0.040877427,0.855191187,1.353209172
7034,0.141031299,0.130123117,0.062134026,1.66063125,1.094039005,0.044887398,0.377125823,0.046182209,1.045702321,0.312155364,0.049717456,0.331619957,0.047296636,1.208734624,0.825868709,0.043951889,0.431519484,0.044406898,0.861000956,0.233440065
7035,0.150933968,0.11773813,0.023450053,1.575036796,1.737136931,0.002094175,0.389063047,0.043717701,1.466929423,1.08207211,0.001951398,0.353775904,0.044713801,1.559039198,1.125343432,0.002368363,0.443927881,0.039793445,1.125593911,1.187119423
7036,0.214504555,0.057677368,0.025875236,1.551949427,3.668222059,0.000935788,0.373001672,0.042605669,1.206663514,2.405761012,0.000930375,0.333896972,0.043720215,1.300723084,2.396702913,0.001061777,0.422826322,0.039141577,1.003655582,2.416727793
7037,0.097797059,0.177186013,0.055390354,1.242833214,-0.051171524,0.00062637,0.390943315,0.044467271,0.673968535,0.402058546,0.000684608,0.353067676,0.045328537,0.709361582,0.418459413,0.000743588,0.453579821,0.041857787,0.58419399,0.380365969
