"","parameter","ID","blup_session1","blup_session2","blup_overall","subject"
"127","K",29,0.105951075956743,0.0589578062401925,0.0824544410984679,2078
"128","K",30,0.0782037195352021,0.0469370845112221,0.0625704020232121,2079
"129","K",31,0.0897251309222202,0.0595091901058487,0.0746171605140345,2080
"130","K",32,0.0956227216788341,0.0634933106936635,0.0795580161862488,2081
"131","K",33,0.0977900767717691,0.0614449195297346,0.0796174981507519,2082
"132","K",34,0.0725679081221101,0.0578736036787979,0.065220755900454,2084
"133","K",35,0.0882553683807547,0.0590537243090062,0.0736545463448804,2085
"134","K",36,0.0729157183598565,0.0598241971677358,0.0663699577637962,2086
"135","K",37,0.0811968857901333,0.0442085925976097,0.0627027391938715,2087
"136","K",38,0.0727847209394022,0.0700032037699226,0.0713939623546624,2088
"137","K",39,0.089554994640757,0.0535482428935536,0.0715516187671553,2089
"138","K",40,0.127198291960639,0.0614112991803494,0.0943047955704943,2090
"139","K",41,0.0903719884301554,0.0597241962678398,0.0750480923489976,2091
"140","K",42,0.0875160886636595,0.0699491035855621,0.0787325961246108,2092
"141","K",43,0.108858649432007,0.0614065737205184,0.0851326115762628,2093
"142","K",44,0.0910419116667707,0.0605960644240529,0.0758189880454118,2094
"143","K",45,0.0907645197463792,0.0550872410608064,0.0729258804035928,2095
"144","K",46,0.0877325765566079,0.0607316190382808,0.0742320977974444,2096
"145","K",47,0.0943457951329747,0.079845507620668,0.0870956513768214,2097
"146","K",48,0.081088400409867,0.0606582632191842,0.0708733318145256,2098
"147","K",49,0.0910647893582215,0.0632099893847961,0.0771373893715088,2099
"148","betaF",1,0.581348251408221,0.177232311386424,0.379290281397323,2049
"149","betaF",2,1.17824086893196,2.24510361710117,1.71167224301656,2050
"150","betaF",3,1.02663436939173,1.17419191034753,1.10041313986963,2051
"151","betaF",4,2.1468614738703,3.04140887123548,2.59413517255289,2052
"152","betaF",5,1.85259018935411,2.7554161674235,2.30400317838881,2053
"153","betaF",6,0.771100417420629,0.599166041751504,0.685133229586067,2054
"154","betaF",7,1.03187928568621,2.00968924117961,1.52078426343291,2055
"155","betaF",8,0.733353192368179,1.08904741859332,0.911200305480751,2056
"156","betaF",9,1.42251218026967,1.77096054578068,1.59673636302518,2057
"157","betaF",10,1.38204544976717,1.97007400483041,1.67605972729879,2058
"158","betaF",11,1.7523425432022,2.45843647879873,2.10538951100047,2060
"159","betaF",12,1.59390449542817,2.25560667622191,1.92475558582504,2061
"160","betaF",13,0.647770870505248,0.638942841625899,0.643356856065574,2062
"161","betaF",14,0.763825942436543,0.919338431888444,0.841582187162493,2063
"162","betaF",15,1.36950193647232,1.7174915599352,1.54349674820376,2064
"163","betaF",16,0.98574584823325,1.44915453258547,1.21745019040936,2065
"164","betaF",17,1.02907417244893,1.26113630052208,1.1451052364855,2066
"165","betaF",18,1.80663939441792,2.26744775134319,2.03704357288055,2067
"166","betaF",19,1.14870317014521,1.79951424985852,1.47410871000186,2068
"167","betaF",20,0.880153056596354,1.25421089090974,1.06718197375305,2069
"168","betaF",21,1.33463909226289,1.9987208176338,1.66667995494835,2070
"169","betaF",22,0.404214272759547,-0.166708554242026,0.118752859258761,2071
"170","betaF",23,1.44632510844251,1.63280652149029,1.5395658149664,2072
"171","betaF",24,1.09096461373818,1.63818638142199,1.36457549758009,2073
"172","betaF",25,1.86544886416719,3.13718775597251,2.50131831006985,2074
"173","betaF",26,1.26454828719453,1.03688911382783,1.15071870051118,2075
"174","betaF",27,0.624653972778251,0.556868996197701,0.590761484487976,2076
"175","betaF",28,1.32924172101002,1.51615828860404,1.42270000480703,2077
"176","betaF",29,0.402998624467722,-1.52915759308414,-0.563079484308207,2078
"177","betaF",30,0.747357939194199,1.12471347622741,0.936035707710805,2079
"178","betaF",31,1.02908584807729,1.28761277565877,1.15834931186803,2080
"179","betaF",32,1.99396469285613,2.87120752614877,2.43258610950245,2081
"180","betaF",33,1.03862272086081,1.36479623938583,1.20170948012332,2082
"181","betaF",34,1.68522079664551,2.6432764730423,2.16424863484391,2084
"182","betaF",35,0.434253119302815,0.201755732022807,0.318004425662811,2085
"183","betaF",36,2.08293914844185,2.59927689481151,2.34110802162668,2086
"184","betaF",37,1.4422903328024,1.13523340185474,1.28876186732857,2087
"185","betaF",38,1.81427530936535,1.65195846026851,1.73311688481693,2088
"186","betaF",39,0.931239345154939,1.45730406754454,1.19427170634974,2089
"187","betaF",40,0.568760049541478,0.674854564190296,0.621807306865887,2090
"188","betaF",41,2.4967389916792,3.38602171428316,2.94138035298118,2091
"189","betaF",42,1.20284172298438,2.03480405922718,1.61882289110578,2092
"190","betaF",43,0.659629089620372,0.810376134107298,0.735002611863835,2093
"191","betaF",44,0.81948371012012,1.0227293174251,0.92110651377261,2094
"192","betaF",45,0.248622094027634,0.724335003253753,0.486478548640693,2095
"193","betaF",46,0.868034472647383,1.07344315635618,0.97073881450178,2096
"194","betaF",47,1.67170958585973,1.45512573182982,1.56341765884477,2097
"195","betaF",48,0.782106989017051,0.960647633516558,0.871377311266805,2098
"196","betaF",49,1.63438925273621,1.78339689478679,1.7088930737615,2099
"197","betaP",1,0.688494894333906,0.509445256925387,0.598970075629647,2049
"198","betaP",2,0.661903195073353,1.40634825537798,1.03412572522567,2050
"199","betaP",3,0.770562538800254,0.987338819295064,0.878950679047659,2051
"200","betaP",4,0.270831761761734,0.665711250762062,0.468271506261898,2052
"201","betaP",5,2.15047001238995,2.38652582690875,2.26849791964935,2053
"202","betaP",6,-1.05859320802648,-0.59199972417059,-0.825296466098533,2054
"203","betaP",7,0.19297586995865,0.655826854846802,0.424401362402726,2055
"204","betaP",8,0.186837484470967,-0.590717102628521,-0.201939809078777,2056
"205","betaP",9,0.315714516933427,0.943775073560058,0.629744795246743,2057
"206","betaP",10,1.11705228759953,1.71482716040967,1.4159397240046,2058
"207","betaP",11,1.47970592736665,1.28554776431158,1.38262684583911,2060
"208","betaP",12,1.55748899920127,1.62000884183382,1.58874892051754,2061
