"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"201","SR-ORL","basfunsk","betaF",1,-0.0181059978966166,-0.2,0.16,"",-0.02,"-.02","-.20",".16","-.02 [-.20,.16]",3
"202","SR-ORL","basfunsk","Apun",1,0.257324250835677,0.03,0.44,"*",0.26," .26",".03",".44"," .26 [.03,.44]",3
"203","SR-ORL","basfunsk","Arew",1,-0.0743536099979498,-0.31,0.11,"",-0.07,"-.07","-.31",".11","-.07 [-.31,.11]",3
"204","SR-ORL","basdrive","K",1,-0.366671936056972,-0.45,-0.22,"*",-0.37,"-.37","-.45","-.22","-.37 [-.45,-.22]",2
"205","SR-ORL","basdrive","betaP",1,-0.160963598754012,-0.43,0.11,"",-0.16,"-.16","-.43",".11","-.16 [-.43,.11]",2
"206","SR-ORL","basdrive","betaF",1,-0.151173122237732,-0.35,0.06,"",-0.15,"-.15","-.35",".06","-.15 [-.35,.06]",2
"207","SR-ORL","basdrive","Apun",1,-0.0735337522024441,-0.34,0.15,"",-0.07,"-.07","-.34",".15","-.07 [-.34,.15]",2
"208","SR-ORL","basdrive","Arew",1,0.319794146621423,0.08,0.49,"*",0.32," .32",".08",".49"," .32 [.08,.49]",2
"209","SR-ORL","bastot","K",1,-0.312442625731984,-0.42,-0.15,"*",-0.31,"-.31","-.42","-.15","-.31 [-.42,-.15]",1
"210","SR-ORL","bastot","betaP",1,-0.0725760075684961,-0.29,0.14,"",-0.07,"-.07","-.29",".14","-.07 [-.29,.14]",1
"211","SR-ORL","bastot","betaF",1,-0.0732929296367688,-0.28,0.14,"",-0.07,"-.07","-.28",".14","-.07 [-.28,.14]",1
"212","SR-ORL","bastot","Apun",1,0.0266490000609591,-0.2,0.26,"",0.03," .03","-.20",".26"," .03 [-.20,.26]",1
"213","SR-ORL","bastot","Arew",1,0.258552260016106,0.01,0.43,"*",0.26," .26",".01",".43"," .26 [.01,.43]",1
"214","SR-ORL","masqAD","K",1,0.283068038330341,0.1,0.45,"*",0.28," .28",".10",".45"," .28 [.10,.45]",11
"215","SR-ORL","masqAD","betaP",1,0.0481212942092286,-0.22,0.3,"",0.05," .05","-.22",".30"," .05 [-.22,.30]",11
"216","SR-ORL","masqAD","betaF",1,0.0600164384682088,-0.11,0.23,"",0.06," .06","-.11",".23"," .06 [-.11,.23]",11
"217","SR-ORL","masqAD","Apun",1,-0.0807859637113638,-0.3,0.15,"",-0.08,"-.08","-.30",".15","-.08 [-.30,.15]",11
"218","SR-ORL","masqAD","Arew",1,-0.253141523419344,-0.41,-0.09,"*",-0.25,"-.25","-.41","-.09","-.25 [-.41,-.09]",11
"219","SR-ORL","masqGDD","K",1,0.0268758459347954,-0.12,0.15,"",0.03," .03","-.12",".15"," .03 [-.12,.15]",10
"220","SR-ORL","masqGDD","betaP",1,0.205778522124804,0,0.39,"",0.21," .21","-.00",".39"," .21 [-.00,.39]",10
"221","SR-ORL","masqGDD","betaF",1,-0.0112990386448226,-0.19,0.15,"",-0.01,"-.01","-.19",".15","-.01 [-.19,.15]",10
"222","SR-ORL","masqGDD","Apun",1,0.3074299052672,0.05,0.52,"*",0.31," .31",".05",".52"," .31 [.05,.52]",10
"223","SR-ORL","masqGDD","Arew",1,-0.19156396152131,-0.31,-0.06,"*",-0.19,"-.19","-.31","-.06","-.19 [-.31,-.06]",10
"224","SR-ORL","masqAA","K",1,-0.0880497612511451,-0.19,0.04,"",-0.09,"-.09","-.19",".04","-.09 [-.19,.04]",9
"225","SR-ORL","masqAA","betaP",1,0.212565065707916,0.09,0.35,"*",0.21," .21",".09",".35"," .21 [.09,.35]",9
"226","SR-ORL","masqAA","betaF",1,-0.182113648851143,-0.38,0.03,"",-0.18,"-.18","-.38",".03","-.18 [-.38,.03]",9
"227","SR-ORL","masqAA","Apun",1,0.198728123766694,-0.06,0.46,"",0.2," .20","-.06",".46"," .20 [-.06,.46]",9
"228","SR-ORL","masqAA","Arew",1,-0.189935622528079,-0.33,-0.03,"*",-0.19,"-.19","-.33","-.03","-.19 [-.33,-.03]",9
"229","SR-ORL","masqGDA","K",1,-0.0340657135898562,-0.13,0.07,"",-0.03,"-.03","-.13",".07","-.03 [-.13,.07]",8
"230","SR-ORL","masqGDA","betaP",1,0.228494888460852,0.09,0.35,"*",0.23," .23",".09",".35"," .23 [.09,.35]",8
"231","SR-ORL","masqGDA","betaF",1,-0.0410407903514484,-0.24,0.14,"",-0.04,"-.04","-.24",".14","-.04 [-.24,.14]",8
"232","SR-ORL","masqGDA","Apun",1,0.288554082246303,0.04,0.51,"*",0.29," .29",".04",".51"," .29 [.04,.51]",8
"233","SR-ORL","masqGDA","Arew",1,-0.319825588419554,-0.44,-0.16,"*",-0.32,"-.32","-.44","-.16","-.32 [-.44,-.16]",8
"234","SR-ORL","prdep_tot","K",1,0.214938213339078,-0.06,0.47,"",0.21," .21","-.06",".47"," .21 [-.06,.47]",13
"235","SR-ORL","prdep_tot","betaP",1,0.0634174437861052,-0.24,0.33,"",0.06," .06","-.24",".33"," .06 [-.24,.33]",13
"236","SR-ORL","prdep_tot","betaF",1,0.000275257853651165,-0.2,0.19,"",0,"-.00","-.20",".19","-.00 [-.20,.19]",13
"237","SR-ORL","prdep_tot","Apun",1,-0.0473996164177483,-0.26,0.17,"",-0.05,"-.05","-.26",".17","-.05 [-.26,.17]",13
"238","SR-ORL","prdep_tot","Arew",1,-0.197773509143204,-0.35,-0.04,"*",-0.2,"-.20","-.35","-.04","-.20 [-.35,-.04]",13
"239","ORL-Prop","K","Bad",0,-0.367066376679495,-0.57,-0.16,"*",-0.37,"-.37","-.57","-.16","-.37 [-.57,-.16]",NA
"240","ORL-Prop","betaP","Bad",0,0.260591190789605,-0.21,0.56,"",0.26," .26","-.21",".56"," .26 [-.21,.56]",NA
"241","ORL-Prop","betaF","Bad",0,-0.0758325231732799,-0.3,0.12,"",-0.08,"-.08","-.30",".12","-.08 [-.30,.12]",NA
"242","ORL-Prop","Apun","Bad",0,-0.525901595483395,-0.72,-0.28,"*",-0.53,"-.53","-.72","-.28","-.53 [-.72,-.28]",NA
"243","ORL-Prop","Arew","Bad",0,0.414222213355076,0.09,0.63,"*",0.41," .41",".09",".63"," .41 [.09,.63]",NA
"244","ORL-Prop","K","Good",0,-0.410358573566141,-0.69,-0.06,"*",-0.41,"-.41","-.69","-.06","-.41 [-.69,-.06]",NA
"245","ORL-Prop","betaP","Good",0,0.831147789017438,0.73,0.9,"*",0.83," .83",".73",".90"," .83 [.73,.90]",NA
"246","ORL-Prop","betaF","Good",0,0.528383983254477,0.24,0.7,"*",0.53," .53",".24",".70"," .53 [.24,.70]",NA
"247","ORL-Prop","Apun","Good",0,0.137487224269175,-0.16,0.4,"",0.14," .14","-.16",".40"," .14 [-.16,.40]",NA
"248","ORL-Prop","Arew","Good",0,-0.340824728542819,-0.64,-0.04,"*",-0.34,"-.34","-.64","-.04","-.34 [-.64,-.04]",NA
"249","ORL-Prop","K","Bad",2,-0.291092570031084,-0.56,-0.07,"*",-0.29,"-.29","-.56","-.07","-.29 [-.56,-.07]",NA
"250","ORL-Prop","betaP","Bad",2,0.204665317287685,-0.21,0.57,"",0.2," .20","-.21",".57"," .20 [-.21,.57]",NA
"251","ORL-Prop","betaF","Bad",2,-0.0802720812447441,-0.35,0.2,"",-0.08,"-.08","-.35",".20","-.08 [-.35,.20]",NA
"252","ORL-Prop","Apun","Bad",2,-0.457867858233342,-0.64,-0.22,"*",-0.46,"-.46","-.64","-.22","-.46 [-.64,-.22]",NA
"253","ORL-Prop","Arew","Bad",2,0.631505228256614,0.37,0.77,"*",0.63," .63",".37",".77"," .63 [.37,.77]",NA
"254","ORL-Prop","K","Good",2,-0.297453848136918,-0.58,-0.03,"*",-0.3,"-.30","-.58","-.03","-.30 [-.58,-.03]",NA
"255","ORL-Prop","betaP","Good",2,0.814352241255839,0.72,0.91,"*",0.81," .81",".72",".91"," .81 [.72,.91]",NA
"256","ORL-Prop","betaF","Good",2,0.523949426861366,0.3,0.69,"*",0.52," .52",".30",".69"," .52 [.30,.69]",NA
"257","ORL-Prop","Apun","Good",2,0.228424552502033,-0.05,0.42,"",0.23," .23","-.05",".42"," .23 [-.05,.42]",NA
"258","ORL-Prop","Arew","Good",2,-0.0189194102158513,-0.38,0.33,"",-0.02,"-.02","-.38",".33","-.02 [-.38,.33]",NA
"259","ORL-Prop","K","Bad",1,-0.307224233417401,-0.47,0.02,"",-0.31,"-.31","-.47",".02","-.31 [-.47,.02]",NA
"260","ORL-Prop","betaP","Bad",1,0.238202025621308,-0.24,0.55,"",0.24," .24","-.24",".55"," .24 [-.24,.55]",NA
"261","ORL-Prop","betaF","Bad",1,-0.14853525797346,-0.38,0.08,"",-0.15,"-.15","-.38",".08","-.15 [-.38,.08]",NA
"262","ORL-Prop","Apun","Bad",1,-0.554318559934754,-0.72,-0.32,"*",-0.55,"-.55","-.72","-.32","-.55 [-.72,-.32]",NA
"263","ORL-Prop","Arew","Bad",1,0.306741816042217,0,0.54,"*",0.31," .31","-.00",".54"," .31 [-.00,.54]",NA
"264","ORL-Prop","K","Good",1,-0.331110802910166,-0.53,-0.03,"*",-0.33,"-.33","-.53","-.03","-.33 [-.53,-.03]",NA
"265","ORL-Prop","betaP","Good",1,0.799366059813757,0.69,0.86,"*",0.8," .80",".69",".86"," .80 [.69,.86]",NA
"266","ORL-Prop","betaF","Good",1,0.451466655380774,0.17,0.63,"*",0.45," .45",".17",".63"," .45 [.17,.63]",NA
"267","ORL-Prop","Apun","Good",1,0.135176194823205,-0.18,0.42,"",0.14," .14","-.18",".42"," .14 [-.18,.42]",NA
"268","ORL-Prop","Arew","Good",1,-0.396681016345097,-0.64,-0.16,"*",-0.4,"-.40","-.64","-.16","-.40 [-.64,-.16]",NA
