"","parameter","ID","blup_session1","blup_session2","blup_overall","subject"
"113","K",15,0.13946743702797,0.0829947865715958,0.111231111799783,2064
"114","K",16,0.197708152704858,0.0206941370906922,0.109201144897775,2065
"115","K",17,0.121934226104234,0.0847472831800013,0.103340754642118,2066
"116","K",18,0.100907978799753,0.095455289697325,0.0981816342485388,2067
"117","K",19,0.100307285186048,0.131879496431916,0.116093390808982,2068
"118","K",20,0.0980600952287865,0.0640700465788642,0.0810650709038253,2069
"119","K",21,0.110787300003586,0.0313826983780041,0.0710849991907952,2070
"120","K",22,0.236214219996253,0.00985340928716903,0.123033814641711,2071
"121","K",23,0.130859117599073,0.0897956126520996,0.110327365125586,2072
"122","K",24,0.0579978461621286,0.144365682270829,0.101181764216479,2073
"123","K",25,0.193894322823514,0.0391343316909451,0.11651432725723,2074
"124","K",26,0.0905688645207468,0.124306486603489,0.107437675562118,2075
"125","K",27,0.0568587952372018,0.146269370721396,0.101564082979299,2076
"126","K",28,0.0690259430897889,0.0802175624313512,0.07462175276057,2077
"127","K",29,0.251311133344981,0.0164310121964869,0.133871072770734,2078
"128","K",30,0.122821232527473,0.0364794334816719,0.0796503330045725,2079
"129","K",31,0.154026151893877,0.029914572608844,0.0919703622513603,2080
"130","K",32,0.100513391329129,0.141257142841662,0.120885267085395,2081
"131","K",33,0.172613126093249,0.0310264537894758,0.101819789941362,2082
"132","K",34,0.0631299392895821,0.0767309771729268,0.0699304582312545,2084
"133","K",35,0.147310127783637,0.0520947975127669,0.0997024626482021,2085
"134","K",36,0.0372341616510728,0.142669775326335,0.0899519684887038,2086
"135","K",37,0.154901030041291,0.0930566960811459,0.123978863061219,2087
"136","K",38,0.0572534236558515,0.107196642301065,0.0822250329784581,2088
"137","K",39,0.140491616753268,0.0722280768681042,0.106359846810686,2089
"138","K",40,0.208147421949631,0.0713889712756609,0.139768196612646,2090
"139","K",41,0.127224116553967,0.0713990628222059,0.0993115896880865,2091
"140","K",42,0.0470071758553242,0.20346798993672,0.125237582896022,2092
"141","K",43,0.0817011675019892,0.10430395275626,0.0930025601291244,2093
"142","K",44,0.0571314034250302,0.112189359980774,0.0846603817029022,2094
"143","K",45,0.160660416703029,0.0261253267801653,0.093392871741597,2095
"144","K",46,0.0806759626148003,0.10527546341009,0.0929757130124449,2096
"145","K",47,0.134774783093916,0.0768846719741806,0.105829727534048,2097
"146","K",48,0.0396425437823171,0.141894100135435,0.0907683219588761,2098
"147","K",49,0.119009563951495,0.107145829622379,0.113077696786937,2099
"148","betaF",1,0.789346266984517,-0.281829119685366,0.253758573649576,2049
"149","betaF",2,1.1271546066803,2.33592420954158,1.73153940811094,2050
"150","betaF",3,0.396957794022817,0.596519198188862,0.49673849610584,2051
"151","betaF",4,2.81551839859579,3.40699603282811,3.11125721571195,2052
"152","betaF",5,1.76332489252374,2.71526760647289,2.23929624949832,2053
"153","betaF",6,0.423107525906771,0.35918971171283,0.391148618809801,2054
"154","betaF",7,0.601566200218492,0.90589036796556,0.753728284092026,2055
"155","betaF",8,1.74774776474871,2.4601854233381,2.10396659404341,2056
"156","betaF",9,1.41738466861275,1.54432790729537,1.48085628795406,2057
"157","betaF",10,1.4971831993027,1.88979249978975,1.69348784954623,2058
"158","betaF",11,1.55103559326944,1.6607416443959,1.60588861883267,2060
"159","betaF",12,2.32196199500673,2.89495005783241,2.60845602641957,2061
"160","betaF",13,-0.171105789475772,-0.230275493701311,-0.200690641588541,2062
"161","betaF",14,0.92873207137397,1.08046740544949,1.00459973841173,2063
"162","betaF",15,1.81948187783348,1.92136467623489,1.87042327703419,2064
"163","betaF",16,0.639213218623827,0.678232063594001,0.658722641108914,2065
"164","betaF",17,0.819651826388229,0.794306097124548,0.806978961756389,2066
"165","betaF",18,1.69206077056767,1.81248831827666,1.75227454442216,2067
"166","betaF",19,1.33631304385858,1.69113053707119,1.51372179046489,2068
"167","betaF",20,0.523746351568154,0.895907778658265,0.709827065113209,2069
"168","betaF",21,1.24884284481144,1.58581672571221,1.41732978526183,2070
"169","betaF",22,0.844213902989082,1.5174822480137,1.18084807550139,2071
"170","betaF",23,1.57653854064492,1.32320020205745,1.44986937135118,2072
"171","betaF",24,0.765810640919401,1.63240145752774,1.19910604922357,2073
"172","betaF",25,2.05873324843614,3.09763767260735,2.57818546052175,2074
"173","betaF",26,1.13159314672561,0.672480204292979,0.902036675509295,2075
"174","betaF",27,0.0925775472002901,0.12261489927564,0.107596223237965,2076
"175","betaF",28,0.934464111988489,1.15673656230559,1.04560033714704,2077
"176","betaF",29,1.43069234197294,0.869588137063645,1.15014023951829,2078
"177","betaF",30,0.695831025839174,0.76788114905958,0.731856087449377,2079
"178","betaF",31,0.854302788802882,0.757120165664808,0.805711477233845,2080
"179","betaF",32,2.36194784445413,3.21453189813407,2.7882398712941,2081
"180","betaF",33,0.966149085059224,0.701259706572302,0.833704395815763,2082
"181","betaF",34,1.69498191534872,2.18320759230863,1.93909475382868,2084
"182","betaF",35,0.529445907137238,-0.0909148003179466,0.219265553409646,2085
"183","betaF",36,1.97323979165628,2.06019797057633,2.0167188811163,2086
"184","betaF",37,1.86477568985113,1.99110217415177,1.92793893200145,2087
"185","betaF",38,1.8071370923112,1.00369380526727,1.40541544878924,2088
"186","betaF",39,1.19566546928273,1.44807426737448,1.3218698683286,2089
"187","betaF",40,0.634388790551347,0.797750865971744,0.716069828261545,2090
